BANK_ID,AGE,MARITAL_STATUS,GENDER,EDUCATION,STATE,OCCUPATION,OCC_DESC
13398,42,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,"Associate Professionals, Administrative/Specialized - Administrative Officer/Executive",MANAGER OR SUPERVISOR
16152,37,Married,Male,No Formal Education / Unknown,Negeri Sembilan Darul Khusus,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Mining/Manufactu",OTHERS
18560,34,Single,Male,No Formal Education / Unknown,Negeri Sembilan Darul Khusus,"Clerical Support Workers, Office - General Office Clerks",NON-EXECUTIVE
18568,34,Married,Male,College/ University,Selangor Darul Ehsan,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Physical/Enginee",EXECUTIVE AND ABOVE
26717,26,Single,Female,,Kedah Darul Aman,"Professionals, Administration/Policy Analyst/Market/Business Research/Admin Exec/Registrar College/U",EXECUTIVE AND ABOVE
27584,25,Single,Male,,Johor Darul Takzim,"Professionals, Administration/Policy Analyst/Market/Business Research/Admin Exec/Registrar College/U",EXECUTIVE AND ABOVE
21437,31,Single,Female,No Formal Education / Unknown,Perak Darul Ridzuan,"Associate Professionals, Administrative/Specialized - Administrative Officer/Executive",MANAGER OR SUPERVISOR
23408,29,Single,Male,Secondary,WP - Kuala Lumpur,Outside Labour Force - Student,STUDENT
24558,28,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,Outside Labour Force - Student,STUDENT
10016,58,Married,Male,Secondary,Johor Darul Takzim,"Associate Professionals, Administrative/Specialized - Administrative Officer/Executive",MANAGER OR SUPERVISOR
10059,56,Single,Male,No Formal Education / Unknown,STATE_INFO_NOT_PROVIDED,Protective Services Workers - Security Guards (Departmental/Office/Industrial Guard/Concierge),NON-EXECUTIVE
10103,55,Married,Male,No Formal Education / Unknown,Selangor Darul Ehsan,"Associate Professionals, Administrative/Specialized - Others",OTHERS
10384,53,Married,Male,Secondary,Selangor Darul Ehsan,"Associate Professionals, Administrative/Specialized - Administrative Officer/Executive",MANAGER OR SUPERVISOR
10389,53,Married,Male,Secondary,Selangor Darul Ehsan,"Plant/Machine,  Drivers/Mobile Plant Operators/Related Workers - Heavy Truck/Bus Drivers",OTHERS
10698,51,Married,Male,Secondary,Selangor Darul Ehsan,Outside Labour Force - Retiree,RETIRED
10837,51,Single,Male,No Formal Education / Unknown,WP - Kuala Lumpur,"Army -Recruit/Private to General/Field Marshal, Navy - Ordinary-COD/Seaman/Recruit to Admiral of Fle",GOVT SERVANT
