BANK_ID,TELCO_ID
12140,C-42552
17875,C-50147
12935,C-43558
18777,C-51391
17083,C-49078
16595,C-48403
15688,C-47181
13773,C-44626
12086,C-42481
11492,C-41766
17445,C-49565
16324,C-48040
17943,C-50243
16983,C-48933
15902,C-47464
13744,C-44589
18139,C-50507
13185,C-43872
18735,C-51331
17163,C-49188
13802,C-44669
17850,C-50113
14237,C-45246
13975,C-44902
16521,C-48303
18282,C-50708
10090,C-40106
12362,C-42841
12495,C-43005
15413,C-46815
12752,C-43333
16078,C-47693
18528,C-51053
13867,C-44760
13102,C-43763
15024,C-46297
13586,C-44388
19202,C-51968
18535,C-51060
16631,C-48455
13301,C-44030
16128,C-47768
14901,C-46136
16587,C-48391
12610,C-43151
12299,C-42754
15749,C-47264
17351,C-49434
12373,C-42852
12443,C-42941
10839,C-40983
15518,C-46964
14786,C-45971
14464,C-45536
18987,C-51680
13509,C-44287
13614,C-44421
10734,C-40859
13009,C-43645
10803,C-40943
10210,C-40242
10871,C-41023
15475,C-46898
14938,C-46188
12029,C-42412
13744,C-44590
13060,C-43712
13694,C-44521
19233,C-52012
11573,C-41861
14939,C-46191
21605,C-55267
10644,C-40750
16381,C-48120
11013,C-41188
14880,C-46102
17688,C-49886
13592,C-44395
11363,C-41606
14688,C-45839
18373,C-50829
14330,C-45355
14923,C-46169
14823,C-46020
15199,C-46534
16542,C-48333
17018,C-48981
15570,C-47029
14651,C-45785
11633,C-41935
11633,C-41934
10983,C-41155
10846,C-40992
11362,C-41604
17571,C-49728
16432,C-48186
16202,C-47886
17951,C-50254
19168,C-51921
20294,C-53480
13698,C-44525
21063,C-54534
11599,C-41889
13250,C-43961
16078,C-47694
13494,C-44269
16486,C-48256
15980,C-47566
17588,C-49756
11339,C-41577
14893,C-46123
20467,C-53717
17038,C-49010
11659,C-41966
15735,C-47248
14635,C-45762
17296,C-49362
18483,C-50982
11763,C-42090
13109,C-43771
15564,C-47017
14958,C-46215
14121,C-45094
15443,C-46855
13518,C-44296
16414,C-48165
19761,C-52752
12562,C-43092
17966,C-50272
17769,C-50006
10828,C-40972
16813,C-48693
10326,C-40382
14155,C-45139
21711,C-55412
21295,C-54843
13733,C-44569
15836,C-47376
18252,C-50667
15842,C-47389
18400,C-50862
10742,C-40870
15009,C-46273
20878,C-54260
18236,C-50645
21264,C-54800
20691,C-54009
14994,C-46255
11011,C-41186
18313,C-50748
20398,C-53625
14409,C-45451
14453,C-45519
17796,C-50042
14684,C-45833
15204,C-46541
18955,C-51624
14450,C-45515
16642,C-48474
16665,C-48506
11323,C-41558
15405,C-46804
13570,C-44370
14391,C-45424
10725,C-40847
15249,C-46597
12013,C-42393
13844,C-44728
15491,C-46920
14386,C-45418
12386,C-42868
14760,C-45937
16498,C-48273
16854,C-48751
19739,C-52723
19601,C-52528
15978,C-47563
14333,C-45360
12236,C-42674
11841,C-42190
14787,C-45972
19138,C-51880
11464,C-41728
16290,C-47997
14469,C-45542
11810,C-42152
20615,C-53909
15961,C-47541
14977,C-46235
17862,C-50127
14434,C-45492
13278,C-43994
18527,C-51051
15864,C-47419
10750,C-40878
16294,C-48003
19665,C-52618
16164,C-47821
19955,C-53016
19923,C-52972
18299,C-50729
20289,C-53470
14818,C-46012
18199,C-50592
19375,C-52210
16202,C-47884
17293,C-49357
19603,C-52532
14476,C-45551
12837,C-43441
16458,C-48222
17557,C-49711
16601,C-48413
20304,C-53491
13671,C-44491
13319,C-44052
19873,C-52902
12071,C-42462
11196,C-41414
14653,C-45788
11551,C-41835
11232,C-41456
11397,C-41646
19110,C-51846
14187,C-45186
12363,C-42842
20347,C-53553
10483,C-40559
10249,C-40286
12697,C-43262
17566,C-49720
16046,C-47650
15175,C-46507
11633,C-41933
15277,C-46630
16723,C-48582
15842,C-47388
18035,C-50363
13870,C-44763
15767,C-47289
14868,C-46087
15964,C-47547
12180,C-42604
10063,C-40074
14452,C-45518
16919,C-48844
15972,C-47556
17093,C-49093
20630,C-53931
13781,C-44641
20727,C-54054
16607,C-48420
17665,C-49856
12459,C-42962
17024,C-48990
15071,C-46366
18427,C-50900
15027,C-46301
14568,C-45674
13218,C-43920
18789,C-51404
21398,C-54983
12735,C-43312
13428,C-44188
16235,C-47926
15176,C-46509
17965,C-50270
16628,C-48448
19028,C-51739
14551,C-45650
14231,C-45239
13872,C-44765
14698,C-45853
14389,C-45421
14812,C-46006
13628,C-44436
16902,C-48823
14121,C-45095
17659,C-49846
16260,C-47957
14277,C-45295
12029,C-42413
13914,C-44822
16984,C-48935
17112,C-49116
13522,C-44301
12869,C-43478
11968,C-42345
14376,C-45407
15269,C-46621
16466,C-48230
15059,C-46351
12786,C-43375
13592,C-44394
13518,C-44297
15146,C-46466
22085,C-55921
17160,C-49183
17445,C-49564
18360,C-50809
10906,C-41064
13563,C-44357
16942,C-48879
13219,C-43922
13734,C-44570
21769,C-55482
14064,C-45022
15778,C-47302
19495,C-52381
17305,C-49372
12135,C-42544
20011,C-53086
20845,C-54213
20811,C-54164
20489,C-53753
11957,C-42331
18211,C-50610
19402,C-52252
15432,C-46840
17643,C-49823
17928,C-50216
18588,C-51133
16555,C-48351
16155,C-47805
17525,C-49667
15741,C-47254
11840,C-42189
12077,C-42469
15611,C-47080
13003,C-43638
16906,C-48828
14488,C-45569
18880,C-51528
18993,C-51690
10996,C-41170
13781,C-44640
16538,C-48326
18267,C-50691
15016,C-46287
13259,C-43972
15365,C-46746
13797,C-44661
18384,C-50844
15996,C-47590
13398,C-44153
15622,C-47093
17390,C-49491
12078,C-42472
17497,C-49630
19244,C-52025
16841,C-48733
14562,C-45667
12117,C-42521
15055,C-46344
13721,C-44553
18518,C-51036
15577,C-47037
13776,C-44629
20566,C-53852
21605,C-55269
13797,C-44660
22288,C-56190
16665,C-48507
12717,C-43287
13940,C-44855
17620,C-49796
16311,C-48027
10161,C-40182
16691,C-48538
17293,C-49358
17376,C-49468
11536,C-41816
13935,C-44850
20452,C-53700
14950,C-46203
17230,C-49272
21979,C-55781
13140,C-43809
12022,C-42404
15816,C-47351
18823,C-51453
15473,C-46895
14885,C-46112
12112,C-42515
13372,C-44118
11746,C-42068
13731,C-44565
20517,C-53786
16433,C-48188
21531,C-55170
21539,C-55182
12534,C-43058
16903,C-48825
14865,C-46082
16223,C-47909
12731,C-43306
18252,C-50668
12524,C-43048
11625,C-41924
15339,C-46706
14785,C-45970
14390,C-45423
19864,C-52889
14954,C-46209
17276,C-49336
20242,C-53400
13857,C-44746
14407,C-45448
17376,C-49469
13195,C-43886
11524,C-41804
19280,C-52078
13725,C-44558
13542,C-44327
17648,C-49829
16302,C-48012
17115,C-49122
16937,C-48871
11767,C-42095
18152,C-50521
13672,C-44495
