TELCO_ID,PREPAID_AMT_MTH_1,PREPAID_AMT_MTH_2,PREPAID_AMT_MTH_3,PREPAID_AMT_MTH_4,PREPAID_AMT_MTH_5,PREPAID_AMT_MTH_6,POSTPAID_AMT_MTH_1,POSTPAID_AMT_MTH_2,POSTPAID_AMT_MTH_3,POSTPAID_AMT_MTH_4,POSTPAID_AMT_MTH_5,POSTPAID_AMT_MTH_6,TOTAL_POSTPAID_AMT,TOTAL_PREPAID_AMT,AVG_POSTPAID_AMT,AVG_PREPAID_AMT
C-42552,100,87.5,187.5,62.5,175,137.5,0,350,268.75,403.375,410,555.125,1987.25,750,331.2083334,125
C-43558,300,231.25,56.25,106.25,68.75,106.25,342.5,0,157.5,0,158.75,168.75,827.5,868.75,137.9166666,144.7916666
C-44626,0,0,0,0,0,0,240.3125,426.125,168.875,181.75,169.625,170.125,1356.8125,0,226.1354166,0
C-42481,0,0,0,0,0,0,1875,0,0,516.25,0,0,2391.25,0,398.5416666,0
C-44902,0,0,0,0,0,0,0,168.4375,211.9375,340.5,0,189.625,910.5,0,151.75,0
C-43005,25,25,12.5,0,25,0,143.75,122.5,78.75,165,96.25,95,701.25,87.5,116.875,14.58333334
C-46815,0,0,0,0,0,0,610,615,610,148.75,112.5,148.75,2245,0,374.1666666,0
C-43333,12.5,0,0,0,0,0,0,125,125,112.5,465.0625,0,827.5625,12.5,137.9270834,2.083333334
C-44760,0,0,0,0,0,0,0,274.25,48.875,0,0,107.0625,430.1875,0,71.69791666,0
C-44388,50,37.5,37.5,37.5,68.75,37.5,0,0,0,0,0,0,0,268.75,0,44.79166666
C-47768,0,0,75,0,62.5,0,0,0,0,0,0,0,0,137.5,0,22.91666666
C-42754,12.5,0,112.5,0,37.5,25,0,0,0,0,0,0,0,187.5,0,31.25
C-45971,0,0,0,0,0,0,265.3125,81.25,497.6625,165.4375,242.25,0,1251.9125,0,208.6520834,0
C-45536,0,0,0,0,0,0,0,750,0,0,0,0,750,0,125,0
C-40859,0,0,0,0,0,43.75,0,60,108.25,0,0,244.625,412.875,43.75,68.8125,7.291666666
C-43645,0,0,0,0,0,0,0,0,837.5,0,0,619.25,1456.75,0,242.7916666,0
C-41023,0,0,0,0,0,0,250,187.5,250,200,212.5,250,1350,0,225,0
C-43712,0,0,0,0,37.5,37.5,0,0,0,0,0,0,0,75,0,12.5
C-44521,0,0,0,0,0,0,292.8125,400.375,292.8125,292.8125,292.8125,298.125,1869.75,0,311.625,0
C-41861,0,37.5,0,0,0,0,297.6875,299.6875,305.5,296.25,303.25,0,1502.375,37.5,250.3958334,6.25
C-41188,0,0,0,0,0,0,117.5,68.75,82.5625,35,117.7,37.375,458.8875,0,76.48125,0
C-46169,37.5,37.5,0,0,12.5,0,187.5,125,250,0,125,125,812.5,87.5,135.4166666,14.58333334
C-47029,0,0,0,0,0,0,0,187.5,0,0,0,0,187.5,0,31.25,0
C-41155,175,125,50,25,93.75,87.5,0,0,0,0,0,0,0,556.25,0,92.70833334
C-44525,0,0,0,0,0,0,370,202,0,0,0,0,572,0,95.33333334,0
C-41889,200,125,187.5,137.5,62.5,62.5,0,0,0,0,0,0,0,775,0,129.1666666
C-43961,225,218.75,212.5,287.5,225,181.25,0,0,0,0,0,0,0,1350,0,225
C-48256,0,0,0,0,75,62.5,0,0,0,0,0,0,0,137.5,0,22.91666666
C-41577,62.5,131.25,62.5,43.75,81.25,31.25,0,0,186.5625,0,250,0,436.5625,412.5,72.76041666,68.75
