BANK_ID,MOBILE,TABLET,samsung,OPPO,HUAWEI,SONY,XIAOMI,LENOVO,ASUS,VIVO,ANDROID,IPHONE_IOS11
10001,0,0,0,0,0,0,0,0,0,0,0,0
10002,0,0,0,0,0,0,0,0,0,0,0,0
10004,0,0,0,0,0,0,0,0,0,0,0,0
10009,0,0,0,0,0,0,0,0,0,0,0,0
10010,1,0,1,0,0,0,0,0,0,0,1,0
10017,1,0,1,0,0,0,0,0,0,0,1,1
10021,1,0,1,0,0,0,0,0,0,0,1,1
10022,1,0,1,0,0,0,0,0,0,0,1,0
10028,1,0,1,0,0,0,0,0,0,0,1,0
10030,0,0,0,0,0,0,0,0,0,0,0,0
10031,1,0,0,0,0,0,0,0,0,0,1,0
10032,1,0,1,0,0,0,0,0,0,0,1,0
10035,1,0,0,0,0,0,0,0,0,0,0,0
10037,0,0,0,0,0,0,0,0,0,0,1,0
10043,1,0,1,0,0,0,0,0,0,0,1,0
10046,1,0,0,0,0,0,0,0,0,0,1,0
10048,1,0,0,0,0,0,0,0,0,0,1,0
10050,1,0,1,0,0,0,0,0,0,0,1,0
10052,1,0,0,0,0,0,0,0,0,0,1,0
10054,1,1,1,0,1,0,0,0,0,0,1,0
10055,0,0,0,0,0,0,0,0,0,0,0,0
10056,0,0,1,0,0,0,0,0,0,0,1,0
10058,1,0,1,0,0,0,0,0,0,0,1,0
10061,1,0,0,0,0,0,0,0,0,0,0,1
10067,1,0,1,0,0,0,0,0,0,0,1,0
10071,1,0,0,0,0,0,0,0,0,0,0,1
10073,1,0,0,0,0,0,0,0,0,0,1,0
10074,1,0,1,0,0,0,0,0,0,0,1,1
10078,1,0,0,0,0,0,0,0,0,0,1,0
10079,0,0,0,0,0,0,0,0,0,0,0,0
10083,1,0,0,0,0,0,0,0,0,0,0,1
10085,0,0,0,0,0,0,0,0,0,0,0,0
10087,1,0,0,0,0,0,0,0,0,1,1,0
10088,1,1,1,0,0,0,0,0,0,0,1,0
10089,1,0,0,0,0,0,0,0,0,0,1,0
10090,1,0,0,0,0,0,0,0,0,1,1,0
10095,0,0,0,0,0,0,0,0,0,0,0,0
10098,1,0,1,1,0,0,0,1,0,0,1,0
10099,0,0,1,0,0,0,0,0,0,0,1,0
10103,0,0,0,0,0,0,0,0,0,0,0,0
10109,1,1,0,0,0,0,1,0,0,0,1,0
10116,1,0,0,0,0,0,0,0,0,0,0,1
10121,1,0,0,0,0,0,1,0,1,0,1,0
10123,1,0,0,0,0,0,0,0,1,0,1,0
10132,0,0,0,0,0,0,0,0,0,0,0,0
10134,1,0,0,0,0,0,0,0,0,0,0,0
10137,1,0,1,0,0,0,0,0,0,0,1,1
10140,0,0,1,0,0,0,0,0,0,0,1,0
10143,1,1,0,0,0,0,0,0,0,0,0,0
10144,0,0,0,0,0,0,0,0,0,0,0,0
10146,1,0,0,0,0,0,0,0,0,0,0,0
10151,1,0,0,0,0,0,0,0,0,0,1,0
10152,1,0,0,0,0,0,0,0,1,0,1,0
10153,1,0,0,0,0,0,0,0,0,0,1,1
10155,0,0,0,0,0,0,0,0,0,0,0,0
10156,1,0,1,0,0,0,0,0,0,1,1,0
10157,1,0,1,0,0,0,0,0,0,0,1,0
10158,1,1,0,0,0,0,0,0,0,0,0,0
10165,0,1,1,0,0,0,0,0,0,0,1,0
10166,1,0,0,0,0,0,0,0,0,0,1,0
10167,0,0,0,0,0,0,0,0,0,0,0,0
10170,1,0,0,0,0,0,0,0,0,0,1,0
10172,1,0,1,0,0,0,0,0,0,0,1,0
10174,1,1,1,1,0,0,0,0,0,0,1,0
10176,0,0,0,0,0,0,0,0,0,0,0,0
10177,0,0,0,0,0,0,0,0,0,0,0,0
10178,1,0,1,0,0,0,1,0,0,1,1,0
10179,1,1,1,1,0,0,1,0,0,0,1,0
10184,1,1,0,0,0,0,0,0,0,0,1,1
10187,1,1,0,0,0,0,0,0,0,1,1,0
10191,1,0,1,0,0,0,0,0,0,0,1,0
10192,1,0,1,0,0,0,1,0,0,0,1,0
10194,0,0,0,0,0,0,0,0,0,0,0,0
10196,0,0,0,0,0,0,0,0,0,0,1,0
10197,1,1,1,0,0,0,0,0,0,0,1,0
10205,1,0,0,0,0,0,0,0,0,0,1,0
10206,1,0,1,0,0,0,0,0,0,1,1,0
10208,1,0,0,0,0,0,0,0,0,0,0,1
10209,1,1,0,0,0,0,0,0,1,0,1,0
10210,1,1,1,0,0,0,0,0,0,0,1,0
10211,1,0,0,0,0,0,0,0,0,0,0,1
10215,1,0,0,0,1,0,0,0,0,0,1,0
10217,1,0,1,0,0,0,0,0,0,0,1,0
10222,1,0,1,0,0,0,0,0,0,0,1,0
10230,0,0,0,0,0,0,0,0,0,0,0,0
10231,0,0,0,0,0,0,0,0,0,0,0,0
10234,1,0,0,0,0,0,0,0,0,0,0,0
10240,1,0,0,0,0,0,0,1,0,0,1,0
10242,1,0,1,0,0,0,0,0,0,0,1,0
10243,1,1,1,0,0,0,0,0,0,0,1,0
10245,1,0,0,1,0,0,0,0,0,0,1,0
10247,0,0,0,0,0,0,0,0,0,0,0,0
10249,1,0,0,0,0,0,0,0,0,0,0,0
10254,1,1,1,0,1,0,0,0,0,0,1,0
10256,0,0,0,0,0,0,0,0,0,0,0,0
10261,0,0,0,0,0,0,0,0,0,0,0,0
10263,1,0,0,0,0,0,0,1,0,0,1,0
10265,0,0,0,0,0,0,0,0,0,0,0,0
10267,1,0,0,0,0,0,0,0,0,0,0,1
10270,1,0,0,0,0,0,1,0,0,0,1,0
10274,1,0,0,0,0,0,0,0,0,0,0,0
10276,1,0,0,0,0,0,0,0,1,0,1,0
10280,0,0,0,0,0,0,0,0,0,0,0,0
10281,0,0,0,0,0,0,0,0,0,0,0,0
10284,0,0,0,0,0,0,0,0,0,0,0,0
10285,1,0,0,0,0,0,0,0,0,0,0,0
10286,1,0,0,0,0,0,0,1,0,0,1,0
10287,0,0,0,0,0,0,0,0,0,0,0,0
10288,1,1,0,0,0,0,0,0,0,0,0,0
10290,1,0,1,0,0,0,0,0,0,0,1,0
10291,1,0,0,0,0,0,0,0,0,0,1,1
10292,0,0,0,0,0,0,0,0,0,0,1,0
10294,0,0,0,0,0,0,0,0,0,0,0,0
10295,0,0,1,0,0,0,0,0,0,0,1,0
10298,0,0,0,0,0,0,0,0,0,0,0,0
10300,0,0,1,0,0,0,0,0,0,0,1,0
10305,1,0,1,0,1,0,0,0,0,0,1,0
10306,1,0,0,0,0,0,0,0,0,1,1,0
